ID|Municipio|UF|Latitude|Longitude
474|QUINTANA|SP|-22.0730|-50.3080
475|RAFARD|SP|-23.0120|-47.5270
476|RANCHARIA|SP|-22.2290|-50.8930
477|REDENCAO DA SERRA|SP|-23.2670|-45.5370
478|REGENTE FEIJO|SP|-22.2210|-51.3030
479|REGINOPOLIS|SP|-21.8880|-49.2250
480|REGISTRO|SP|-24.4880|-47.8440
481|RESTINGA|SP|-20.6030|-47.4830
482|RIBEIRA|SP|-24.6570|-49.0090
483|RIBEIRAO BONITO|SP|-22.0670|-48.1760
484|RIBEIRAO BRANCO|SP|-24.2210|-48.7660
485|RIBEIRAO CORRENTE|SP|-20.4570|-47.5900
486|RIBEIRAO DO SUL|SP|-22.7840|-49.9340
487|RIBEIRAO DOS INDIOS|SP|-21.8370|-51.6040
488|RIBEIRAO GRANDE|SP|-24.0990|-48.3650
489|RIBEIRAO PIRES|SP|-23.7110|-46.4130
490|RIBEIRAO PRETO|SP|-21.1780|-47.8100
491|RIFAINA|SP|-20.0810|-47.4210
492|RINCAO|SP|-21.5870|-48.0710
493|RINOPOLIS|SP|-21.7260|-50.7220
494|RIO CLARO|SP|-22.4110|-47.5610
495|RIO DAS PEDRAS|SP|-22.8430|-47.6060
496|RIO GRANDE DA SERRA|SP|-23.7440|-46.3980
497|RIOLANDIA|SP|-19.9900|-49.6810
498|RIVERSUL|SP|-23.8280|-49.4290
499|ROSANA|SP|-22.5800|-53.0590
500|ROSEIRA|SP|-22.8980|-45.3050
501|RUBIACEA|SP|-21.3010|-50.7270
502|RUBINEIA|SP|-20.1790|-51.0020
503|SABINO|SP|-21.4600|-49.5780
504|SAGRES|SP|-21.8840|-50.9560
505|SALES|SP|-21.3410|-49.4850
506|SALES OLIVEIRA|SP|-20.7720|-47.8380
507|SALESOPOLIS|SP|-23.5320|-45.8460
508|SALMOURAO|SP|-21.6240|-50.8610
509|SALTINHO|SP|-22.8470|-47.6770
510|SALTO|SP|-23.2010|-47.2870
511|SALTO DE PIRAPORA|SP|-23.6490|-47.5730
512|SALTO GRANDE|SP|-22.8930|-49.9860
513|SANDOVALINA|SP|-22.4560|-51.7630
514|SANTA ADELIA|SP|-21.2430|-48.8040
515|SANTA ALBERTINA|SP|-20.0320|-50.7280
